documentId,rowId,actualId,panel,kind,severity,field,expected,actual,reviewed,unsafe
pilot-07,pilot-07-r06,13195789-c649-47d2-b3a6-d70df23e5626,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-07,pilot-07-r16,fd3dd0c3-a53e-4d22-95d4-98f8a7ac1352,Electrolytes,WRONG_ASSOCIATION,B,normalizedTestName,Ionized Calcium,lonized Calcium,True,False
pilot-07,pilot-07-r16,fd3dd0c3-a53e-4d22-95d4-98f8a7ac1352,Electrolytes,WRONG_ASSOCIATION,B,originalTestName,Ionized Calcium,lonized Calcium,True,False
pilot-07,pilot-07-r16,fd3dd0c3-a53e-4d22-95d4-98f8a7ac1352,Electrolytes,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-07,pilot-07-r16,fd3dd0c3-a53e-4d22-95d4-98f8a7ac1352,Electrolytes,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-10,pilot-10-r11,2d3be4ed-ffb0-4ea7-8c46-d0f646547a1b,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-10,pilot-10-r11,2d3be4ed-ffb0-4ea7-8c46-d0f646547a1b,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-10,pilot-10-r12,9ecec54c-ed0f-4e93-8364-d9100c85aa37,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-10,pilot-10-r12,9ecec54c-ed0f-4e93-8364-d9100c85aa37,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-11,pilot-11-r16,07e95fb4-8465-470b-9e4b-1afb08b50852,Electrolytes,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-11,pilot-11-r16,07e95fb4-8465-470b-9e4b-1afb08b50852,Electrolytes,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-12,pilot-12-r07,20ef8805-db25-4741-afab-d9c1ca8799f1,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-12,pilot-12-r07,20ef8805-db25-4741-afab-d9c1ca8799f1,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-12,pilot-12-r12,2104ad63-e8f7-4913-8220-bceb1f03c6f9,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-12,pilot-12-r12,2104ad63-e8f7-4913-8220-bceb1f03c6f9,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-12,pilot-12-r15,90e5e8a5-9d9d-48ab-8505-892a7288c4ce,Lipids,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-12,pilot-12-r15,90e5e8a5-9d9d-48ab-8505-892a7288c4ce,Lipids,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-14,pilot-14-r11,6bd4bdfb-13e8-4f76-a626-b9c34f916423,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-14,pilot-14-r11,6bd4bdfb-13e8-4f76-a626-b9c34f916423,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-18,pilot-18-r11,7f07f431-c1c7-4f1b-94af-eec3c2b17c51,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-18,pilot-18-r11,7f07f431-c1c7-4f1b-94af-eec3c2b17c51,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,E,calculatedStatus,HIGH,UNKNOWN,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,WRONG_ASSOCIATION,B,normalizedTestName,HbA1c,HbAic,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,normalizedUnit,%,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,WRONG_ASSOCIATION,B,originalTestName,HbA1c,HbAic,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,originalUnit,%,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,referenceMax,5.6,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,referenceMin,4.0,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,referenceText,4.0 - 5.6,8 % H 4.0 - 5.6,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,referenceType,BETWEEN,TEXT_ONLY,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,E,reportedFlag,H,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,C,unit,%,,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,E,valueNumeric,6.8,6.0,True,False
pilot-27,pilot-27-r02,ce0c1f4b-b09f-4cd3-be1d-9117b34db54f,Diabetes,FIELD_MISMATCH,E,valueText,6.8,6,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,E,calculatedStatus,NORMAL,UNKNOWN,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,normalizedUnit,mg/dL,,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,originalUnit,mg/dL,,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,referenceMax,1.3,,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,referenceMin,0.7,,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,referenceText,0.7 - 1.3,9 mg/dL 0.7 - 1.3,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,referenceType,BETWEEN,TEXT_ONLY,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,C,unit,mg/dL,,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,E,valueNumeric,0.9,0.0,True,False
pilot-27,pilot-27-r03,6fb5b326-8dc3-45b5-bc5b-280f88d2204d,Kidney,FIELD_MISMATCH,E,valueText,0.9,0,True,False
pilot-27,pilot-27-r08,f5b08fd3-5be0-4620-bbb7-4e04d40fe11e,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-27,pilot-27-r08,f5b08fd3-5be0-4620-bbb7-4e04d40fe11e,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-28,pilot-28-r11,f0d176e6-95c2-4e25-aef1-add6f4e457c6,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-28,pilot-28-r11,f0d176e6-95c2-4e25-aef1-add6f4e457c6,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-28,pilot-28-r18,f4ed6d8e-462d-4571-b42b-4c6d8dcdcda8,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-28,pilot-28-r18,f4ed6d8e-462d-4571-b42b-4c6d8dcdcda8,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-28,pilot-28-r21,af894e87-734e-4590-beb7-e0fb4758b081,Liver,WRONG_ASSOCIATION,B,originalTestName,Total Bilirubin,Total Bilirubln,True,False
pilot-28,pilot-28-r21,af894e87-734e-4590-beb7-e0fb4758b081,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-28,pilot-28-r21,af894e87-734e-4590-beb7-e0fb4758b081,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-28,pilot-28-r22,8a5b0181-2dab-41ca-a679-55a2615fc08f,Liver,WRONG_ASSOCIATION,B,originalTestName,Direct Bilirubin,Direct BilirublIn,True,False
pilot-28,pilot-28-r22,8a5b0181-2dab-41ca-a679-55a2615fc08f,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-28,pilot-28-r22,8a5b0181-2dab-41ca-a679-55a2615fc08f,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-29,pilot-29-r04,a8b2aa00-9f61-4384-95a7-778b75b71c77,Electrolytes,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-29,pilot-29-r04,a8b2aa00-9f61-4384-95a7-778b75b71c77,Electrolytes,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-29,pilot-29-r06,48295ba9-ec21-4152-9ab0-9de7030f2291,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-29,pilot-29-r06,48295ba9-ec21-4152-9ab0-9de7030f2291,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-30,pilot-30-r03,df40c97d-a244-4555-a9fb-c2fb86b4e8c2,Iron,WRONG_ASSOCIATION,B,originalTestName,Iron,lron,True,False
pilot-30,pilot-30-r03,df40c97d-a244-4555-a9fb-c2fb86b4e8c2,Iron,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-30,pilot-30-r03,df40c97d-a244-4555-a9fb-c2fb86b4e8c2,Iron,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-30,pilot-30-r04,0a1c3f8d-5491-4c7c-94d8-77ede4bbf948,Iron,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-30,pilot-30-r04,0a1c3f8d-5491-4c7c-94d8-77ede4bbf948,Iron,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-30,pilot-30-r05,b1781729-83b6-4a4a-ac65-406da1f57aee,Iron,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-30,pilot-30-r05,b1781729-83b6-4a4a-ac65-406da1f57aee,Iron,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,E,calculatedStatus,NORMAL,UNKNOWN,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,normalizedUnit,mg/L,,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,originalUnit,mg/L,,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,referenceMax,5,,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,referenceOperator,<,,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,referenceText,< 5,mg@/L<5,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,referenceType,LESS_THAN,TEXT_ONLY,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-30,pilot-30-r09,110ace77-9ac1-4325-a59e-02a40ff59acb,Inflammation,FIELD_MISMATCH,C,unit,mg/L,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,E,calculatedStatus,LOW,UNKNOWN,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,normalizedUnit,g/dL,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,originalUnit,g/dL,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,referenceMax,17.0,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,referenceMin,13.0,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,referenceText,13.0 - 17.0,8 g/dL L 13.0 - 17.0,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,referenceType,BETWEEN,TEXT_ONLY,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,E,reportedFlag,L,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,C,unit,g/dL,,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,E,valueNumeric,10.8,10.0,True,False
pilot-31,pilot-31-r01,7290235b-eb52-4749-b783-1801a2325ec7,CBC,FIELD_MISMATCH,E,valueText,10.8,10,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,E,calculatedStatus,HIGH,UNKNOWN,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,WRONG_ASSOCIATION,B,normalizedTestName,HbA1c,HbAic,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,normalizedUnit,%,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,WRONG_ASSOCIATION,B,originalTestName,HbA1c,HbAic,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,originalUnit,%,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,referenceMax,5.6,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,referenceMin,4.0,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,referenceText,4.0 - 5.6,8 % H 4.0 - 5.6,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,referenceType,BETWEEN,TEXT_ONLY,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,E,reportedFlag,H,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,C,unit,%,,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,E,valueNumeric,6.8,6.0,True,False
pilot-31,pilot-31-r02,a2ae15ae-5536-4a07-ae62-8662f1dbd411,Diabetes,FIELD_MISMATCH,E,valueText,6.8,6,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,E,calculatedStatus,NORMAL,UNKNOWN,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,normalizedUnit,mg/dL,,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,originalUnit,mg/dL,,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,referenceMax,1.3,,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,referenceMin,0.7,,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,referenceText,0.7 - 1.3,9 mg/dL 0.7 - 1.3,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,referenceType,BETWEEN,TEXT_ONLY,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,C,unit,mg/dL,,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,E,valueNumeric,0.9,0.0,True,False
pilot-31,pilot-31-r03,d6962ea0-ff65-45b5-9468-771fbe76dbae,Kidney,FIELD_MISMATCH,E,valueText,0.9,0,True,False
